"date","group","prop","category","year","quarter","plot"
"2017 Q3","REPSOL",0.396313849394418,"Incumbent","2017","3","by-group"
"2017 Q4","EDP",0.0612328684732838,"Incumbent","2017","4","by-group"
"2017 Q4","ENDESA",0.237996735134151,"Incumbent","2017","4","by-group"
"2017 Q4","IBERDROLA",0.15075476805856,"Incumbent","2017","4","by-group"
"2017 Q4","NATURGY",0.110669711972555,"Incumbent","2017","4","by-group"
"2017 Q4","REPSOL",0.412023109871501,"Incumbent","2017","4","by-group"
"2018 Q1","EDP",0.065302812295618,"Incumbent","2018","1","by-group"
"2018 Q1","ENDESA",0.29072704486458,"Incumbent","2018","1","by-group"
"2018 Q1","IBERDROLA",0.166887938925514,"Incumbent","2018","1","by-group"
"2018 Q1","NATURGY",0.114366763452523,"Incumbent","2018","1","by-group"
"2018 Q1","REPSOL",0.429211992833599,"Incumbent","2018","1","by-group"
"2018 Q2","EDP",0.0688817301819878,"Incumbent","2018","2","by-group"
"2018 Q2","ENDESA",0.347840029851729,"Incumbent","2018","2","by-group"
"2018 Q2","IBERDROLA",0.18769724459759,"Incumbent","2018","2","by-group"
"2018 Q2","NATURGY",0.135642448612373,"Incumbent","2018","2","by-group"
"2018 Q2","REPSOL",0.440352809298118,"Incumbent","2018","2","by-group"
"2018 Q3","EDP",0.0794492972995701,"Incumbent","2018","3","by-group"
"2018 Q3","ENDESA",0.39724648636419,"Incumbent","2018","3","by-group"
"2018 Q3","IBERDROLA",0.219056128111563,"Incumbent","2018","3","by-group"
"2018 Q3","NATURGY",0.137919429940527,"Incumbent","2018","3","by-group"
"2018 Q3","REPSOL",0.44760802242998,"Incumbent","2018","3","by-group"
"2018 Q4","EDP",0.11671932658968,"Incumbent","2018","4","by-group"
"2018 Q4","ENDESA",0.477839244268476,"Incumbent","2018","4","by-group"
"2018 Q4","IBERDROLA",0.252848632984316,"Incumbent","2018","4","by-group"
"2018 Q4","NATURGY",0.198816412291981,"Incumbent","2018","4","by-group"
"2018 Q4","REPSOL",0.453604514023128,"Incumbent","2018","4","by-group"
"2019 Q1","EDP",0.172101458996249,"Incumbent","2019","1","by-group"
"2019 Q1","ENDESA",0.539417530264323,"Incumbent","2019","1","by-group"
"2019 Q1","IBERDROLA",0.28181602979879,"Incumbent","2019","1","by-group"
"2019 Q1","NATURGY",0.280434846378138,"Incumbent","2019","1","by-group"
"2019 Q1","REPSOL",0.457349941366024,"Incumbent","2019","1","by-group"
"2019 Q2","EDP",0.220436790969715,"Incumbent","2019","2","by-group"
"2019 Q2","ENDESA",0.602958226896711,"Incumbent","2019","2","by-group"
"2019 Q2","IBERDROLA",0.301887718252206,"Incumbent","2019","2","by-group"
"2019 Q2","NATURGY",0.414348069734064,"Incumbent","2019","2","by-group"
"2019 Q2","REPSOL",0.462285150537155,"Incumbent","2019","2","by-group"
"2019 Q3","EDP",0.270222500885085,"Incumbent","2019","3","by-group"
"2019 Q3","ENDESA",0.61957333725615,"Incumbent","2019","3","by-group"
"2019 Q3","IBERDROLA",0.319886187496999,"Incumbent","2019","3","by-group"
"2019 Q3","NATURGY",0.422319301888623,"Incumbent","2019","3","by-group"
"2019 Q3","REPSOL",0.466105764421057,"Incumbent","2019","3","by-group"
"2019 Q4","EDP",0.314709638848882,"Incumbent","2019","4","by-group"
"2019 Q4","ENDESA",0.671161121899264,"Incumbent","2019","4","by-group"
"2019 Q4","IBERDROLA",0.342198429621116,"Incumbent","2019","4","by-group"
"2019 Q4","NATURGY",0.499669484871172,"Incumbent","2019","4","by-group"
"2019 Q4","REPSOL",0.474993439247431,"Incumbent","2019","4","by-group"
"2011 Q1","EDP",0.0124107751354066,"Non-incumbent","2011","1","by-group"
"2011 Q1","ENDESA",0.0275467591527613,"Non-incumbent","2011","1","by-group"
"2011 Q1","IBERDROLA",0.0608884041297494,"Non-incumbent","2011","1","by-group"
"2011 Q1","NATURGY",0.0440681980373275,"Non-incumbent","2011","1","by-group"
"2011 Q1","REPSOL",0.0565094672468541,"Non-incumbent","2011","1","by-group"
"2011 Q2","EDP",0.0133848939965414,"Non-incumbent","2011","2","by-group"
"2011 Q2","ENDESA",0.0291806293985072,"Non-incumbent","2011","2","by-group"
"2011 Q2","IBERDROLA",0.0633520801119929,"Non-incumbent","2011","2","by-group"
"2011 Q2","NATURGY",0.0414703894348256,"Non-incumbent","2011","2","by-group"
"2011 Q2","REPSOL",0.026643922831127,"Non-incumbent","2011","2","by-group"
"2011 Q3","EDP",0.0141925687150764,"Non-incumbent","2011","3","by-group"
"2011 Q3","ENDESA",0.0298208941213848,"Non-incumbent","2011","3","by-group"
"2011 Q3","IBERDROLA",0.0658091521785974,"Non-incumbent","2011","3","by-group"
"2011 Q3","NATURGY",0.0402888144531946,"Non-incumbent","2011","3","by-group"
"2011 Q3","REPSOL",0.0169317528538969,"Non-incumbent","2011","3","by-group"
"2011 Q4","EDP",0.014992730597933,"Non-incumbent","2011","4","by-group"
"2011 Q4","ENDESA",0.0296300834175677,"Non-incumbent","2011","4","by-group"
"2011 Q4","IBERDROLA",0.0680326192692198,"Non-incumbent","2011","4","by-group"
"2011 Q4","NATURGY",0.0390450997077213,"Non-incumbent","2011","4","by-group"
"2011 Q4","REPSOL",0.0159145824635976,"Non-incumbent","2011","4","by-group"
"2012 Q1","EDP",0.0161148069751033,"Non-incumbent","2012","1","by-group"
"2012 Q1","ENDESA",0.0286738562940739,"Non-incumbent","2012","1","by-group"
"2012 Q1","IBERDROLA",0.0713231643873811,"Non-incumbent","2012","1","by-group"
"2012 Q1","NATURGY",0.0415660416106165,"Non-incumbent","2012","1","by-group"
"2012 Q1","REPSOL",0.0160146196933325,"Non-incumbent","2012","1","by-group"
"2012 Q2","EDP",0.01695069661229,"Non-incumbent","2012","2","by-group"
"2012 Q2","ENDESA",0.0292255892255892,"Non-incumbent","2012","2","by-group"
"2012 Q2","IBERDROLA",0.0728958410801274,"Non-incumbent","2012","2","by-group"
"2012 Q2","NATURGY",0.0429914381341037,"Non-incumbent","2012","2","by-group"
