date,year,quarter,market,consumer_reg,consumer_inc,smartmeter,consumer_commercial,consumer_market,consumer_ENDESA,consumer_EDP,consumer_OTHERS,consumer_NATURGY,consumer_REPSOL,consumer_IBERDROLA,consumer_reg_fdata,registration_distr_reg,switch_reg_inc,switch_reg_others,switch_inc_reg,switch_others_reg,consumer_reg_lag,consumer_inc_lag,consumer_commercial_lag,consumer_market_lag,consumer_ENDESA_lag,consumer_IBERDROLA_lag,consumer_NATURGY_lag,consumer_OTHERS_lag,consumer_REPSOL_lag,consumer_EDP_lag,reg_switch_out,reg_switch_in,lambdas,P,Pi,Po
2017 Q1,2017,1,ENDESA,5455509,4378317,0.763333333,6103982,11559491,4378317,64404,302859,653614,94669,610119,5519899,9265.639982724322,100341.69225451407,35035.484986410076,21920.28044552989,3684.512624596936,5574765,4297366,5969659,11544424,4297366,615982,638663,266527,90028,61093,135377.17724092415,25604.793070126827,0.028573080428534983,0.15011174817724407,0.629937978861523,0.21995027296123287
2017 Q2,2017,2,ENDESA,5366072,4439862,0.806666667,6214957,11581029,4439862,67994,336523,666555,95923,608100,5498849,9314.523319334647,76856.28366518156,30007.50047873655,19287.747868690338,3549.179812720807,5455509,4378317,6103982,11559491,4378317,610119,653614,302859,94669,64404,106863.7841439181,22836.927681411144,0.02332954985231828,0.160368133021463,0.6038620610320308,0.23576980594650634
2017 Q3,2017,3,ENDESA,5303768,4475155,0.853333333,6292791,11596559,4475155,72639,369456,671944,95826,607771,5374704,8978.91028640833,53154.08314950926,24205.26326138146,15841.130544863494,2691.0087208523482,5366072,4439862,6214957,11581029,4439862,608100,666555,336523,95923,67994,77359.34641089072,18532.139265715843,0.017398243708693414,0.17138863384612135,0.5693439706849844,0.2592673954688941
2017 Q4,2017,4,ENDESA,5230841,4505545,0.89,6386178,11617019,4505545,79044,415303,678969,95463,611854,5343474,8408.934747319814,58005.00809286244,28881.117793966998,12064.227220718209,2143.8378459406745,5303768,4475155,6292791,11596559,4475155,607771,671944,369456,95826,72639,86886.12588682944,14208.065066658883,0.018639794038398307,0.12112966610914026,0.5867321198820261,0.29213821400883344
2018 Q1,2018,1,ENDESA,5146953,4543406,0.907,6477599,11624552,4543406,82072,466490,679057,95003,611571,5212330,8281.803878687651,72651.17903547933,32472.53136409245,22863.58495375389,2845.8517680192926,5230841,4505545,6386178,11617019,4505545,611854,678969,415303,95463,79044,105123.71039957178,25709.43672177318,0.024122698132619597,0.16688821136442616,0.5757650056554515,0.25734678298012237
2018 Q2,2018,2,ENDESA,5098264,4555850,0.925333333,6539822,11638086,4555850,85951,512174,681281,95106,609460,5188418,10059.1217916521,62944.92758910327,28677.881165318602,40783.808729366065,3032.377634955395,5146953,4543406,6477599,11624552,4543406,611571,679057,466490,95003,82072,91622.80875442187,43816.18636432146,0.024565632321486272,0.27535474736021054,0.49783174708664063,0.22681350555314883
2018 Q3,2018,3,ENDESA,5048404,4561372,0.948666667,6597113,11645517,4561372,91148,560359,675831,97066,611337,5164384,11019.83475512278,46249.4830066858,25700.565559028917,22287.965263620987,1929.6685715082378,5098264,4555850,6539822,11638086,4555850,609460,681281,512174,95106,85951,71950.04856571471,24217.633835129225,0.017815759400807527,0.20785546212031566,0.5091904185449455,0.28295411933473874
2018 Q4,2018,4,ENDESA,4991090,4570512,0.965333333,6646102,11637192,4570512,93656,612792,651046,103612,614484,5143117,10168.277528977078,71898.98013403156,28729.896568559492,50823.9197125012,3393.631085973739,5048404,4561372,6597113,11645517,4561372,611337,675831,560359,97066,91148,100628.87670259105,54217.55079847494,0.0281511851360691,0.29193709966010545,0.5059084635878879,0.20215443675200662
2019 Q1,2019,1,ENDESA,4912772,4600136,0.975,6724364,11637136,4600136,96209,674503,625584,113929,614003,5018362,9848.330255967983,76064.156317938,33222.9407452073,32943.93735326387,3418.5257707594633,4991090,4570512,6646102,11637192,4570512,614484,651046,612792,103612,93656,109287.09706314531,36362.463124023336,0.027367685489751162,0.1999163073220265,0.5568607155163734,0.24322297716160007
2019 Q2,2019,2,ENDESA,4852081,4604853,0.979333333,6795950,11648031,4604853,100586,742271,605468,131235,611537,4990795,10972.317269292767,53965.212385601895,33075.421390980795,24495.703164726263,3183.0025464880846,4912772,4600136,6724364,11637136,4600136,614003,625584,674503,113929,96209,87040.63377658269,27678.70571121435,0.021833396135531303,0.1885268751979907,0.5031135186532849,0.30835960614872454
2019 Q3,2019,3,ENDESA,4805237,4608933,0.981666667,6847995,11653232,4608933,105287,793862,584740,145853,609320,4970810,10885.906694683563,46671.83866613288,24910.658877124653,20859.25714038557,3034.442866052012,4852081,4604853,6795950,11648031,4604853,611537,605468,742271,131235,100586,71582.49754325753,23893.700006437582,0.018268821190294292,0.19245212315222288,0.5265217827953205,0.2810260940524568
2019 Q4,2019,4,ENDESA,4759921,4594031,0.986,6894347,11654268,4594031,111257,846848,568436,163276,610499,4853103,7751.25845526048,45073.62186131224,33877.79555904748,26965.120677018396,3404.3550674692046,4805237,4608933,6847995,11653232,4608933,609320,584740,793862,145853,105287,78951.41742035972,30369.4757444876,0.02086508401348039,0.21254638488312352,0.44955983870592914,0.33789377641094737
2016 Q1,2016,1,IBERDROLA,3853176,5147898,0.56,6662716,10515892,411991,253003,222952,566802,60070,5147898,3904037,4060.403644740047,78587.66169480464,16028.428583028286,29066.331389789597,3366.562185757973,,,,,,,,,,,94616.09027783293,32432.89357554757,,,,
2016 Q2,2016,2,IBERDROLA,3797992,5182514,0.62,6729969,10527961,414157,262110,245328,568359,57501,5182514,3849917,5037.133827040947,67760.59756716834,16539.871865289562,34127.42021399422,4653.380388200577,3853176,5147898,6662716,10515892,411991,5147898,566802,222952,60070,253003,84300.4694324579,38780.800602194795,0.027698747110360866,0.21013836245158474,0.63488966213343,0.15497197541498517
2016 Q3,2016,3,IBERDROLA,3755538,5201657,0.68,6784125,10539663,419402,269979,261017,569417,62653,5201657,3810311,3792.685222807272,53783.58815960167,14835.628371542376,30051.70801543496,3556.135208910769,3797992,5182514,6729969,10527961,414157,5182514,568359,245328,57501,262110,68619.21653114405,33607.84322434573,0.023060994662703893,0.21654568969059787,0.6140697329066857,0.16938457740271648
2016 Q4,2016,4,IBERDROLA,3707380,5214673,0.73,6831095,10538475,409788,277423,280265,578524,70422,5214673,3768916,3253.005813873273,57356.97490206733,16843.42865163352,31849.356589533967,5620.706144684572,3755538,5201657,6784125,10539663,419402,5201657,569417,261017,62653,269979,74200.40355370086,37470.06273421854,0.025280793835721283,0.21847405618612964,0.6041202176509037,0.17740572616296668
2017 Q1,2017,1,IBERDROLA,3629353,5263662,0.786666667,6920299,10549652,397879,284105,306552,587637,80464,5263662,3684732,2851.4901314396816,85588.04265330559,21558.05337023154,29666.332044501472,3529.149962331046,3707380,5214673,6831095,10538475,409788,5214673,578524,280265,70422,277423,107146.09602353713,33195.48200683252,0.033760226220385825,0.14394059908616796,0.6838181813276814,0.17224121958615052
2017 Q2,2017,2,IBERDROLA,3573937,5304238,0.83,6990937,10564874,388758,292902,329396,591108,84535,5304238,3679226,2901.520542364073,59761.41506773436,17610.199502014828,24124.292825447526,3427.0386586744057,3629353,5263662,6920299,10549652,397879,5263662,587637,306552,80464,284105,77371.61456974919,27551.331484121933,0.02529952834108732,0.15736397171597755,0.6508474938430104,0.19178853444101196
2017 Q3,2017,3,IBERDROLA,3529894,5332767,0.876666667,7046186,10576080,381981,301767,350062,593716,85893,5332767,3574364,3003.1657811011974,49017.472392291325,16156.459118321469,23217.503292893507,2996.2528707204974,3573937,5304238,6990937,10564874,388758,5304238,591108,329396,84535,292902,65173.93151061279,26213.756163614005,0.021985569730958405,0.1705517353173921,0.62383005708798,0.20561820759462784
2017 Q4,2017,4,IBERDROLA,3482849,5371054,0.916666667,7107042,10589891,370407,307693,378351,593508,86029,5371054,3573667,2725.919525518186,55891.583435446,16628.401481727313,27402.459527706418,3648.85330838044,3529894,5332767,7046186,10576080,381981,5332767,593716,350062,85893,301767,72519.98491717331,31051.312836086858,0.024951347591772345,0.17661673712090026,0.6345863749022792,0.18879688797682065
2018 Q1,2018,1,IBERDROLA,3450034,5384769,0.953666667,7151252,10601286,367044,308609,411836,592793,86201,5384769,3469164,2722.901855317304,56555.40745436076,20035.903462044458,43007.52871988756,5964.925247696563,3482849,5371054,7107042,10589891,370407,5371054,593508,378351,86029,307693,76591.31091640521,48972.45396758412,0.028881688167059178,0.23858350259259375,0.5622337539090809,0.19918274349832518
2018 Q2,2018,2,IBERDROLA,3432284,5388614,0.975333333,7181755,10614039,362255,310277,441118,592070,87421,5388614,3467237,2542.1121521257414,48948.52787623113,16948.404266567297,50955.093815623215,5573.244321054489,3450034,5384769,7151252,10601286,367044,5384769,592793,411836,86201,308609,65896.93214279843,56528.3381366777,0.027005048936039912,0.29271108335775015,0.5253772842989024,0.1819116323433476
2018 Q3,2018,3,IBERDROLA,3409294,5397046,0.988,7208644,10617938,360395,311128,468996,581661,89418,5397046,3463407,2505.23638428865,40122.17280440906,14473.277233082914,35824.38810743294,4655.113108566218,3432284,5388614,7181755,10614039,362255,5388614,592070,441118,87421,310277,54595.45003749197,40479.50121599916,0.021542884726155436,0.26163793304748606,0.5426219661555213,0.1957401007969928
