date,market,group,tariff,regulated,consumers,yearly_consumption,power,tou,incumbent,share,share_reg,share_others,year,quarter,retailer_type,contracted_power,energy_price,total_bill,energy_consumption,power_bill,energy_bill,gas_price,variable,retailing_cost,smartmeter,ordered_quarter,energy_price_lag,gas_price_lag,retailing_cost_lag
2019-06-28,ENDESA,EDP,2.0DHA,false,49437,134125516,2.0,1,0,0.004244236643944371,0.027337066668177652,0.029418362640003276,2019,2,commercial,5.5,10.20045364,741.260612,5000.0,231.23793,510.022682,14.987692307692306,cost_com,53.96070698317025,0.979333333333333,34,16.20681365333333,21.399111111111118,60.97532713086873
2019-09-28,ENDESA,EDP,2.0DHA,false,58139,155292259,2.0,1,0,0.004989088005799593,0.0287545978660684,0.03301290148518454,2019,3,commercial,5.5,10.65179973,763.8288293,5000.0,231.23884280000001,532.5899865,12.6529347826087,cost_com,50.99766192330744,0.981666666666667,35,15.3466882,14.987692307692306,53.96070698317025
2019-12-28,ENDESA,EDP,2.0DHA,false,68251,180237983,2.0,1,0,0.005856309465339222,0.030601149724718876,0.036939857569776156,2019,4,commercial,5.5,11.318875253333333,797.1826054666666,5000.0,231.23884280000001,565.9437626666667,12.870326086956524,cost_com,47.115565525481394,0.986,36,15.127974631666666,12.6529347826087,50.99766192330744
2011-03-28,ENDESA,EDP,2.1A,false,279,4064521,2.1,0,0,2.4421240667300334e-5,0.009699258986031838,0.0003305182966298425,2011,1,,,,,,,,24.218298267326727,,,,1,,,
2011-06-28,ENDESA,EDP,2.1A,false,264,3806941,2.1,0,0,2.307746370282101e-5,0.009029582161540147,0.00031250732097570116,2011,2,,,,,,,,24.724852532872333,,,,2,,24.218298267326727,
2011-09-28,ENDESA,EDP,2.1A,false,262,3385434,2.1,0,0,2.287751057757419e-5,0.008565619380220296,0.0003444724398035503,2011,3,,,,,,,,23.921590159015903,,,,3,,24.724852532872333,
2011-12-28,ENDESA,EDP,2.1A,false,271,3695368,2.1,0,0,2.3649095592262364e-5,0.008169148105471825,0.0003603214601492668,2011,4,,,,,,,,24.7368278750952,,,,4,,23.921590159015903,
2012-03-28,ENDESA,EDP,2.1A,false,266,3450103,2.1,0,0,2.319928218281174e-5,0.00773582680846254,0.00038470689364053604,2012,1,,,,,,,,24.85431200812388,,,,5,,24.7368278750952,
2012-06-28,ENDESA,EDP,2.1A,false,278,3416869,2.1,0,0,2.4234133812343945e-5,0.0073534033223253996,0.00041206744795305693,2012,2,,,,,,,,24.80399649339934,,,,6,,24.85431200812388,
2012-09-28,ENDESA,EDP,2.1A,false,269,3332513,2.1,0,0,2.3437184164339794e-5,0.007057206245826613,0.0004615992628352127,2012,3,,,,,,,,25.03041228738258,,,,7,,24.80399649339934,
2012-12-28,ENDESA,EDP,2.1A,false,261,3218948,2.1,0,0,2.273767337149255e-5,0.006761190920925428,0.0005108571519173652,2012,4,,,,,,,,28.37269306930692,,,,8,,25.03041228738258,
2013-03-28,ENDESA,EDP,2.1A,false,277,3359694,2.1,0,0,2.4132800448573874e-5,0.00643579098172058,0.0005734371572292897,2013,1,,,,,,,,29.174061269030133,,,,9,,28.37269306930692,
2013-06-28,ENDESA,EDP,2.1A,false,322,4119399,2.1,0,0,2.8037123589643435e-5,0.006111048080793586,0.0006573051117335972,2013,2,,,,,,,,27.464615384615392,,,,10,,29.174061269030133,
2013-09-28,ENDESA,EDP,2.1A,false,380,4833489,2.1,0,0,3.30730139002396e-5,0.005865150878219071,0.0007235156961912943,2013,3,,,,,,,,27.17554380438044,,,,11,,27.464615384615392,
2013-12-28,ENDESA,EDP,2.1A,false,437,5704982,2.1,0,0,3.799338584708992e-5,0.0056428437414634425,0.0008206397460198668,2013,4,,,,,,,,29.133403249555723,cost_com,56.134488071754795,,12,,27.17554380438044,
2014-03-28,ENDESA,EDP,2.1A,false,451,5808131,2.1,0,0,3.918947476719193e-5,0.005428828438037878,0.0009187368441541469,2014,1,,,,,,,,26.22592808890263,cost_com,41.32708791676314,,13,,29.133403249555723,56.134488071754795
2014-06-28,ENDESA,EDP,2.1A,false,441,5595058,2.1,0,0,3.828325388907076e-5,0.0052244054094150935,0.001058562353567639,2014,2,,,,,,,,19.941854379284077,cost_com,51.3346609800098,,14,,26.22592808890263,41.32708791676314
2014-09-28,ENDESA,EDP,2.1A,false,450,5389974,2.1,0,0,3.904335452172802e-5,0.005092728400804154,0.0011766799422748343,2014,3,,,,,,,,19.140629987998793,cost_com,62.559251009538215,,15,,19.941854379284077,51.3346609800098
2014-12-28,ENDESA,EDP,2.1A,false,470,5201967,2.1,0,0,4.0752916196310095e-5,0.00491020615166137,0.0013199609430987842,2014,4,,,,,,,,22.970609375,cost_com,63.01007042678492,,16,,19.140629987998793,62.559251009538215
2015-03-28,ENDESA,EDP,2.1A,false,516,5428355,2.1,0,0,4.472609169368868e-5,0.004670496121571758,0.0014439766696224025,2015,1,,,,,,,,21.19644444444444,cost_com,60.74430593351563,,17,,22.970609375,63.01007042678492
2015-06-28,ENDESA,EDP,2.1A,false,542,5424979,2.1,0,0,4.6965345467376245e-5,0.004429213346060769,0.0015914493262985832,2015,2,,,,,,,,20.685174603174598,cost_com,61.12545415480955,,18,,21.19644444444444,60.74430593351563
2015-09-28,ENDESA,EDP,2.1A,false,555,5562013,2.1,0,0,4.805999550054529e-5,0.004212826632615366,0.0016762980052244245,2015,3,,,,,,,,19.784681818181813,cost_com,66.4008429698653,0.42,19,,20.685174603174598,61.12545415480955
2015-12-28,ENDESA,EDP,2.1A,false,649,6742070,2.1,0,0,5.6189790237192774e-5,0.004050167006619226,0.0017879435411221386,2015,4,commercial,12.0,15.035835320000002,2044.329596,10000.0,540.746064,1503.583532,17.250215384615387,cost_com,61.91720304206288,0.47,20,,19.784681818181813,66.4008429698653
2016-03-28,ENDESA,EDP,2.1A,false,698,7191820,2.1,0,0,6.0448470493482087e-5,0.003913995163256336,0.0018799647528259444,2016,1,commercial,12.0,14.636515079999999,2004.3945479999995,10000.0,540.74304,1463.651508,16.677032967032964,cost_com,41.07921404084841,0.526666666666667,21,11.36234492,17.250215384615387,61.91720304206288
2016-06-28,ENDESA,EDP,2.1A,false,831,9301331,2.1,0,0,7.191182831020703e-5,0.003783894831157777,0.001988002926318154,2016,2,commercial,12.0,14.21362316,1962.105356,10000.0,540.74304,1421.362316,13.77505494505494,cost_com,38.340854277155344,0.58,22,10.96497852,16.677032967032964,41.07921404084841
2016-09-28,ENDESA,EDP,2.1A,false,891,9890747,2.1,0,0,7.700422287355561e-5,0.0036642256356823914,0.002099769471308538,2016,3,commercial,12.0,14.21362316,1962.105356,10000.0,540.74304,1421.362316,15.913043478260867,cost_com,48.9296041975602,0.63,23,10.638021120000001,13.77505494505494,38.340854277155344
2016-12-28,ENDESA,EDP,2.1A,false,910,10343928,2.1,0,0,7.88259336282174e-5,0.0035446549780222903,0.002272005948499466,2016,4,commercial,12.0,14.210777020000002,1961.8207419999999,10000.0,540.74304,1421.0777019999998,21.726630434782614,cost_com,64.79191103079087,0.706666666666667,24,10.638021120000001,15.913043478260867,48.9296041975602
2017-03-28,ENDESA,EDP,2.1A,false,922,10479867,2.1,0,0,7.976129744813158e-5,0.0034155483143678213,0.002433844189160232,2017,1,commercial,12.0,14.46202142,1986.9451820000002,10000.0,540.74304,1446.2021419999999,25.128111111111107,cost_com,65.54420001143703,0.763333333333333,25,10.65374724,21.726630434782614,64.79191103079087
2017-06-28,ENDESA,EDP,2.1A,false,899,10385944,2.1,0,0,7.762695352891353e-5,0.003305060370714899,0.0025696334928442025,2017,2,commercial,12.0,14.612150699999999,2001.9611340000001,10000.0,540.746064,1461.21507,17.81175824175824,cost_com,54.35361248986845,0.806666666666667,26,10.79181932,25.128111111111107,65.54420001143703
2017-09-28,ENDESA,EDP,2.1A,false,886,10286682,2.1,0,0,7.640197406834217e-5,0.0032299236351058967,0.0026682052839984687,2017,3,commercial,12.0,15.269066120000002,2067.6526759999997,10000.0,540.746064,1526.906612,16.99130434782608,cost_com,55.41793205276342,0.853333333333333,27,10.899456479999998,17.81175824175824,54.35361248986845
2017-12-28,ENDESA,EDP,2.1A,false,857,8988608,2.1,0,0,7.377107672803152e-5,0.0031265335797419284,0.0027846214248250776,2017,4,commercial,12.0,15.205552248000002,2061.3012888,10000.0,540.746064,1520.5552248000001,23.71152173913044,cost_com,66.34992796762626,0.89,28,11.555385919999999,16.99130434782608,55.41793205276342
2018-03-28,ENDESA,EDP,2.1A,false,816,8506164,2.1,0,0,7.019625358465427e-5,0.002987986117658556,0.002838991128432304,2018,1,commercial,12.0,15.364444130000003,2077.190477,10000.0,540.746064,1536.4444130000002,22.231777777777776,cost_com,56.58017998501195,0.907,29,11.555385919999999,23.71152173913044,66.34992796762626
2018-06-28,ENDESA,EDP,2.1A,false,795,8323738,2.1,0,0,6.831020152282772e-5,0.0028591471140529466,0.002892485929387358,2018,2,commercial,12.0,15.364444130000003,2077.190477,10000.0,540.746064,1536.4444130000002,22.10758241758242,cost_com,59.15560580695156,0.925333333333333,30,11.899278679999998,22.231777777777776,56.58017998501195
2018-09-28,ENDESA,EDP,2.1A,false,812,8164083,2.1,0,0,6.972640201375345e-5,0.002792576748632113,0.003043918101703857,2018,3,commercial,12.0,16.16770516,2157.51658,10000.0,540.746064,1616.7705159999998,26.791847826086954,cost_com,72.09066251905138,0.948666666666667,31,11.899278679999998,22.10758241758242,59.15560580695156
2018-12-28,ENDESA,EDP,2.1A,false,771,7750481,2.1,0,0,6.625309610772083e-5,0.00271199443989581,0.003157634590887561,2018,4,commercial,12.0,16.733369733333333,2214.0830373333333,10000.0,540.746064,1673.3369733333332,26.06554347826087,cost_com,68.92695041200786,0.965333333333333,32,12.921445684444443,26.791847826086954,72.09066251905138
2019-03-28,ENDESA,EDP,2.1A,false,734,7314117,2.1,0,0,6.307393846733424e-5,0.0026506521879610242,0.003194686390190851,2019,1,commercial,12.0,16.20681365333333,2161.4274293333333,10000.0,540.746064,1620.6813653333336,21.399111111111118,cost_com,60.97532713086873,0.975,33,13.547942551111111,26.06554347826087,68.92695041200786
